Magnitude,Longitude,Latitude,
4.2,-26.595,62.275, 10]
4.4,-26.43,62.259, 10]
4.4,-26.587,62.399, 10]
4.4,-26.317,62.3, 10]
4.6,-26.449,62.248, 10]
4.4,-26.347,62.174, 10]
4.3,-26.194,62.22, 10]
4.1,-26.411,62.277, 10]
3.9,-26.409,62.263, 10]
4.4,-26.369,62.158, 10]
4.3,-26.182,62.212, 10]
4.2,-26.513,62.213, 10]
4.2,-26.401,62.252, 10]
4.3,-26.431,62.211, 10]
4.3,-26.127,62.194, 10]
4.6,-26.303,62.224, 10]
4.1,-26.411,62.376, 10]
4.3,-26.489,62.099, 10]
4.4,-26.145,62.217, 10]
4.3,-26.354,62.153, 10]
4.5,-26.525,62.25, 10]
4.3,-26.221,62.154, 10]
4.3,-26.477,62.159, 10]
4.1,-26.415,62.278, 10]
4.2,-25.867,61.943, 10]
4.3,-26.419,62.11, 10]
4.3,-26.34,62.162, 10]
3.9,-26.702,62.517, 10]
4.1,-26.497,62.123, 10]
4.3,-26.422,62.106, 10]
4.4,-26.57,61.98, 10]
4.4,-26.622,62.057, 10]
4.4,-26.524,62.871, 10]
4.1,-26.548,62.281, 10]
4.3,-26.407,62.189, 10]
4.4,-26.628,62.209, 10]
4.4,-26.708,62.048, 10]
3.7,-26.866,62.706, 10]
4.3,-26.596,61.97, 10]
4.3,-26.615,62.106, 10]
4.2,-26.621,62.04, 10]
4.2,-26.531,62.209, 10]
4.3,-26.711,62.211, 10]
4.3,-26.473,62.043, 10]
4.3,-26.551,62.053, 10]
4.4,-26.476,62.065, 10]
4.6,-26.464,62.03, 10]
4.6,-26.3,62.294, 10]
4.5,-26.538,62.096, 10]
4.4,-26.472,62.194, 10]
4.4,-26.44,62.056, 10]
4.5,-26.393,61.88, 10]
4.3,-26.507,62.065, 10]
4.1,-26.407,62.304, 10]
4.3,-26.528,62.182, 10]
4.7,-26.354,62.105, 10]
4.2,-26.387,62.109, 10]
4.3,-26.32,62.194, 10]
4.3,-26.249,62.162, 10]
4.5,-26.491,62.096, 10]
4.2,-26.475,62.011, 10]
4.5,-26.291,62.039, 10]
4.5,-26.531,62.059, 10]
4.6,-26.383,62.179, 10]
4.6,-26.443,62.079, 10]
4.5,-26.359,61.995, 10]
4.5,-26.445,62.11, 10]
4.6,-26.325,62.134, 10]
4.5,-26.471,62.121, 10]
4.1,-26.25,62.126, 10]
4.8,-26.575,62.046, 10]
4.4,-26.103,62.154, 10]
4.4,-26.383,62.142, 10]
4.5,-26.314,62.187, 10]
4.5,-26.255,62.201, 10]
4.5,-26.183,62.162, 10]
4.4,-26.605,62.231, 10]
4.4,-26.42,62.045, 10]
4.5,-26.363,62.132, 10]
4.4,-26.504,62.102, 10]
4.4,-26.242,62.145, 10]
4.3,-26.619,62.139, 10]
4.4,-26.479,62.088, 10]
4.2,-26.342,62.031, 10]
4.4,-26.378,62.128, 10]
4.4,-26.365,62.033, 10]
